institution,fiscal_year,study_level,credential,headcount
Algoma,2012-2013,Undergraduate,Certificate,11
Algoma,2012-2013,Undergraduate,Degree (includes applied degree),1084
Algoma,2012-2013,Undergraduate,Not Applicable,13
Algoma,2013-2014,Undergraduate,Degree (includes applied degree),1200
Algoma,2013-2014,Undergraduate,Not Applicable,17
Algoma,2014-2015,Undergraduate,Degree (includes applied degree),1173
Algoma,2014-2015,Undergraduate,Not Applicable,11
Algoma,2015-2016,Undergraduate,Degree (includes applied degree),1052
Algoma,2015-2016,Undergraduate,Not Applicable,24
Algoma,2016-2017,Undergraduate,Degree (includes applied degree),982
Algoma,2016-2017,Undergraduate,Not Applicable,15
Algoma,2017-2018,Undergraduate,Degree (includes applied degree),872
Algoma,2017-2018,Undergraduate,Not Applicable,20
Algoma,2018-2019,Undergraduate,Certificate,91
Algoma,2018-2019,Undergraduate,Degree (includes applied degree),850
Algoma,2018-2019,Undergraduate,Not Applicable,13
Algoma,2019-2020,Undergraduate,Certificate,565
Algoma,2019-2020,Undergraduate,Degree (includes applied degree),1030
Algoma,2019-2020,Undergraduate,Not Applicable,16
Algoma,2020-2021,Undergraduate,Certificate,230
Algoma,2020-2021,Undergraduate,Degree (includes applied degree),1178
Algoma,2021-2022,Undergraduate,Certificate,1041
Algoma,2021-2022,Undergraduate,Degree (includes applied degree),1396
Algoma,2022-2023,Undergraduate,Certificate,1586
Algoma,2022-2023,Undergraduate,Degree (includes applied degree),1713
Algoma,2022-2023,Undergraduate,Diploma,0
Algoma,2023-2024,Undergraduate,Certificate,3303
Algoma,2023-2024,Undergraduate,Degree (includes applied degree),3201
Algoma,2023-2024,Undergraduate,Not Applicable,11
Brock,2012-2013,Undergraduate,Certificate,132
Brock,2012-2013,Undergraduate,Degree (includes applied degree),14504
Brock,2012-2013,Undergraduate,Not Applicable,38
Brock,2012-2013,Graduate,Degree (includes applied degree),1174
Brock,2013-2014,Undergraduate,Certificate,131
Brock,2013-2014,Undergraduate,Degree (includes applied degree),14635
Brock,2013-2014,Undergraduate,Not Applicable,86
Brock,2013-2014,Graduate,Degree (includes applied degree),1292
Brock,2014-2015,Undergraduate,Certificate,128
Brock,2014-2015,Undergraduate,Degree (includes applied degree),14727
Brock,2014-2015,Undergraduate,Not Applicable,56
Brock,2014-2015,Graduate,Degree (includes applied degree),1248
Brock,2014-2015,Graduate,Not Applicable,11
Brock,2015-2016,Undergraduate,Certificate,87
Brock,2015-2016,Undergraduate,Degree (includes applied degree),14505
Brock,2015-2016,Undergraduate,Not Applicable,61
Brock,2015-2016,Graduate,Degree (includes applied degree),1258
Brock,2016-2017,Undergraduate,Certificate,127
Brock,2016-2017,Undergraduate,Degree (includes applied degree),14653
Brock,2016-2017,Undergraduate,Not Applicable,58
Brock,2016-2017,Graduate,Degree (includes applied degree),1324
Brock,2016-2017,Graduate,Not Applicable,10
Brock,2017-2018,Undergraduate,Certificate,110
Brock,2017-2018,Undergraduate,Degree (includes applied degree),14605
Brock,2017-2018,Undergraduate,Not Applicable,51
Brock,2017-2018,Graduate,Degree (includes applied degree),1372
Brock,2018-2019,Undergraduate,Certificate,116
Brock,2018-2019,Undergraduate,Degree (includes applied degree),14768
Brock,2018-2019,Undergraduate,Not Applicable,38
Brock,2018-2019,Graduate,Degree (includes applied degree),1424
Brock,2018-2019,Graduate,Diploma,0
Brock,2018-2019,Graduate,Not Applicable,11
Brock,2019-2020,Undergraduate,Certificate,82
Brock,2019-2020,Undergraduate,Degree (includes applied degree),15349
Brock,2019-2020,Undergraduate,Not Applicable,38
Brock,2019-2020,Graduate,Degree (includes applied degree),1579
Brock,2019-2020,Graduate,Not Applicable,17
Brock,2020-2021,Undergraduate,Certificate,48
Brock,2020-2021,Undergraduate,Degree (includes applied degree),15199
Brock,2020-2021,Undergraduate,Not Applicable,16
Brock,2020-2021,Graduate,Degree (includes applied degree),1568
Brock,2021-2022,Undergraduate,Certificate,44
Brock,2021-2022,Undergraduate,Degree (includes applied degree),15100
Brock,2021-2022,Undergraduate,Not Applicable,15
Brock,2021-2022,Graduate,Degree (includes applied degree),1529
Brock,2021-2022,Graduate,Diploma,0
Brock,2022-2023,Undergraduate,Certificate,33
Brock,2022-2023,Undergraduate,Degree (includes applied degree),15157
Brock,2022-2023,Undergraduate,Not Applicable,37
Brock,2022-2023,Graduate,Degree (includes applied degree),1479
Brock,2023-2024,Undergraduate,Certificate,45
Brock,2023-2024,Undergraduate,Degree (includes applied degree),15036
Brock,2023-2024,Undergraduate,Not Applicable,26
Brock,2023-2024,Graduate,Degree (includes applied degree),1522
Carleton,2012-2013,Undergraduate,Degree (includes applied degree),19052
Carleton,2012-2013,Undergraduate,Other type of credential associated with a program,404
Carleton,2012-2013,Graduate,Degree (includes applied degree),2936
Carleton,2012-2013,Graduate,Other type of credential associated with a program,44
Carleton,2013-2014,Undergraduate,Degree (includes applied degree),19621
Carleton,2013-2014,Undergraduate,Other type of credential associated with a program,413
Carleton,2013-2014,Graduate,Degree (includes applied degree),3043
Carleton,2013-2014,Graduate,Other type of credential associated with a program,37
Carleton,2014-2015,Undergraduate,Degree (includes applied degree),19983
Carleton,2014-2015,Undergraduate,Other type of credential associated with a program,416
Carleton,2014-2015,Graduate,Degree (includes applied degree),3128
Carleton,2014-2015,Graduate,Other type of credential associated with a program,29
Carleton,2015-2016,Undergraduate,Degree (includes applied degree),20183
Carleton,2015-2016,Undergraduate,Other type of credential associated with a program,417
Carleton,2015-2016,Graduate,Degree (includes applied degree),3341
Carleton,2015-2016,Graduate,Other type of credential associated with a program,18
Carleton,2016-2017,Undergraduate,Degree (includes applied degree),20593
Carleton,2016-2017,Undergraduate,Other type of credential associated with a program,382
Carleton,2016-2017,Graduate,Degree (includes applied degree),3464
Carleton,2016-2017,Graduate,Other type of credential associated with a program,21
Carleton,2017-2018,Undergraduate,Degree (includes applied degree),21293
Carleton,2017-2018,Undergraduate,Other type of credential associated with a program,411
Carleton,2017-2018,Graduate,Degree (includes applied degree),3556
Carleton,2017-2018,Graduate,Other type of credential associated with a program,31
Carleton,2018-2019,Undergraduate,Degree (includes applied degree),21380
Carleton,2018-2019,Undergraduate,Other type of credential associated with a program,373
Carleton,2018-2019,Graduate,Degree (includes applied degree),3453
Carleton,2018-2019,Graduate,Other type of credential associated with a program,34
Carleton,2019-2020,Undergraduate,Degree (includes applied degree),21434
Carleton,2019-2020,Undergraduate,Other type of credential associated with a program,372
Carleton,2019-2020,Graduate,Degree (includes applied degree),3600
Carleton,2019-2020,Graduate,Other type of credential associated with a program,39
Carleton,2020-2021,Undergraduate,Degree (includes applied degree),20995
Carleton,2020-2021,Undergraduate,Other type of credential associated with a program,230
Carleton,2020-2021,Graduate,Degree (includes applied degree),3808
Carleton,2020-2021,Graduate,Other type of credential associated with a program,37
Carleton,2021-2022,Undergraduate,Degree (includes applied degree),20324
Carleton,2021-2022,Undergraduate,Other type of credential associated with a program,237
Carleton,2021-2022,Graduate,Degree (includes applied degree),3831
Carleton,2021-2022,Graduate,Other type of credential associated with a program,41
Carleton,2022-2023,Undergraduate,Degree (includes applied degree),19622
Carleton,2022-2023,Undergraduate,Other type of credential associated with a program,300
Carleton,2022-2023,Graduate,Degree (includes applied degree),3771
Carleton,2022-2023,Graduate,Other type of credential associated with a program,33
Carleton,2023-2024,Undergraduate,Degree (includes applied degree),19684
Carleton,2023-2024,Undergraduate,Other type of credential associated with a program,371
Carleton,2023-2024,Graduate,Degree (includes applied degree),3885
Carleton,2023-2024,Graduate,Other type of credential associated with a program,35
Dominican,2012-2013,Undergraduate,Degree (includes applied degree),37
Dominican,2012-2013,Undergraduate,Other type of credential associated with a program,15
Dominican,2012-2013,Graduate,Degree (includes applied degree),50
