institution,fiscal_year,study_level,gender,headcount
Algoma,2012-2013,Undergraduate,Female,569
Algoma,2012-2013,Undergraduate,Male,539
Algoma,2013-2014,Undergraduate,Female,570
Algoma,2013-2014,Undergraduate,Male,648
Algoma,2014-2015,Undergraduate,Female,559
Algoma,2014-2015,Undergraduate,Male,630
Algoma,2015-2016,Undergraduate,Female,515
Algoma,2015-2016,Undergraduate,Male,566
Algoma,2016-2017,Undergraduate,Female,501
Algoma,2016-2017,Undergraduate,Male,497
Algoma,2017-2018,Undergraduate,Female,475
Algoma,2017-2018,Undergraduate,Male,418
Algoma,2018-2019,Undergraduate,Female,537
Algoma,2018-2019,Undergraduate,Male,417
Algoma,2019-2020,Undergraduate,Female,892
Algoma,2019-2020,Undergraduate,Male,719
Algoma,2020-2021,Undergraduate,Female,764
Algoma,2020-2021,Undergraduate,Male,648
Algoma,2021-2022,Undergraduate,Female,1247
Algoma,2021-2022,Undergraduate,Male,1186
Algoma,2021-2022,Undergraduate,N/A or Another,10
Algoma,2022-2023,Undergraduate,Female,1644
Algoma,2022-2023,Undergraduate,Male,1647
Algoma,2022-2023,Undergraduate,N/A or Another,13
Algoma,2023-2024,Undergraduate,Female,3074
Algoma,2023-2024,Undergraduate,Male,3432
Algoma,2023-2024,Undergraduate,N/A or Another,12
Brock,2012-2013,Undergraduate,Female,8419
Brock,2012-2013,Undergraduate,Male,6255
Brock,2012-2013,Graduate,Female,709
Brock,2012-2013,Graduate,Male,471
Brock,2013-2014,Undergraduate,Female,8386
Brock,2013-2014,Undergraduate,Male,6466
Brock,2013-2014,Graduate,Female,754
Brock,2013-2014,Graduate,Male,544
Brock,2014-2015,Undergraduate,Female,8415
Brock,2014-2015,Undergraduate,Male,6496
Brock,2014-2015,Graduate,Female,782
Brock,2014-2015,Graduate,Male,477
Brock,2015-2016,Undergraduate,Female,8268
Brock,2015-2016,Undergraduate,Male,6385
Brock,2015-2016,Graduate,Female,801
Brock,2015-2016,Graduate,Male,463
Brock,2016-2017,Undergraduate,Female,8454
Brock,2016-2017,Undergraduate,Male,6384
Brock,2016-2017,Undergraduate,N/A or Another,0
Brock,2016-2017,Graduate,Female,831
Brock,2016-2017,Graduate,Male,505
Brock,2017-2018,Undergraduate,Female,8341
Brock,2017-2018,Undergraduate,Male,6312
Brock,2017-2018,Undergraduate,N/A or Another,113
Brock,2017-2018,Graduate,Female,873
Brock,2017-2018,Graduate,Male,485
Brock,2017-2018,Graduate,N/A or Another,23
Brock,2018-2019,Undergraduate,Female,8329
Brock,2018-2019,Undergraduate,Male,6388
Brock,2018-2019,Undergraduate,N/A or Another,205
